zip,donations,total,NAME,variable,estimate,moe,per_capita
21084,1638,29954.660000000033,ZCTA5 21084,population,7366,989,4066.611458050507
21085,2745,55980.65999999996,ZCTA5 21085,population,16590,1310,3374.361663652801
21086,3,87,NA,NA,NA,NA,NA
21087,656,20466.26,ZCTA5 21087,population,5597,525,3656.6482043952115
2109,2,105,NA,NA,NA,NA,NA
21090,1933,50232.64000000003,ZCTA5 21090,population,10346,1099,4855.271602551714
21092,4,74.96000000000001,NA,NA,NA,NA,NA
21093,22218,633944.1899999967,ZCTA5 21093,population,38961,1886,16271.250481250394
21094,40,17794.12,NA,NA,NA,NA,NA
21096,2,100,NA,NA,NA,NA,NA
21099,3,50,NA,NA,NA,NA,NA
21101,72,1499.5600000000002,NA,NA,NA,NA,NA
21102,3317,51923.16000000006,ZCTA5 21102,population,12024,959,4318.293413173657
21103,2,11,NA,NA,NA,NA,NA
21104,4210,99374.20000000011,ZCTA5 21104,population,6077,966,16352.509461905565
21105,28,267,ZCTA5 21105,population,40,63,6675
21106,26,1213.24,NA,NA,NA,NA,NA
21107,2,35,NA,NA,NA,NA,NA
21108,6603,220072.7800000001,ZCTA5 21108,population,18046,1493,12195.100299235293
21109,1,40.48,NA,NA,NA,NA,NA
21111,3969,93046.8800000003,ZCTA5 21111,population,4838,659,19232.50930136426
21112,1,25,NA,NA,NA,NA,NA
21113,16279,444059.96000000014,ZCTA5 21113,population,36495,2114,12167.693108645024
21114,8848,236144.47000000044,ZCTA5 21114,population,25126,1537,9398.410809520037
21115,5,108,NA,NA,NA,NA,NA
21116,21,1380.24,NA,NA,NA,NA,NA
21117,23052,657696.399999998,ZCTA5 21117,population,58516,2594,11239.599425798038
21118,6,123,NA,NA,NA,NA,NA
21120,2596,77234.65999999997,ZCTA5 21120,population,7319,822,10552.624675502115
21121,2,53,NA,NA,NA,NA,NA
21122,9609,221055.7499999993,ZCTA5 21122,population,61444,2461,3597.6783738037775
21123,59,1086.37,NA,NA,NA,NA,NA
21124,3,240,NA,NA,NA,NA,NA
21127,7,283,NA,NA,NA,NA,NA
21128,1908,49255.929999999986,ZCTA5 21128,population,15934,1436,3091.247018953181
21130,7,225,ZCTA5 21130,population,21,24,10714.285714285714
21131,2873,130327.89000000012,ZCTA5 21131,population,7722,710,16877.478632478647
21132,185,6295.84,ZCTA5 21132,population,3110,547,2024.3858520900324
21133,8682,146954.52000000025,ZCTA5 21133,population,32070,1892,4582.304957904592
21134,21,552,NA,NA,NA,NA,NA
21135,1,100,NA,NA,NA,NA,NA
21136,11483,323548.850000002,ZCTA5 21136,population,35038,1566,9234.22712483595
21137,2,20,NA,NA,NA,NA,NA
21139,580,10016.789999999995,NA,NA,NA,NA,NA
21140,1294,55152.62999999996,ZCTA5 21140,population,4255,790,12961.840188014092
21143,3,210,NA,NA,NA,NA,NA
21144,11718,222529.8500000001,ZCTA5 21144,population,37041,2081,6007.663130045087
21145,1,50,NA,NA,NA,NA,NA
21146,13148,487095.9399999995,ZCTA5 21146,population,29710,1689,16395.01649276336
21147,16,344.63,NA,NA,NA,NA,NA
21149,1,7.71,NA,NA,NA,NA,NA
21150,45,748,NA,NA,NA,NA,NA
21152,1796,80268.00000000007,ZCTA5 21152,population,6517,978,12316.710142703709
21153,1329,41921.91000000001,ZCTA5 21153,population,676,204,62014.659763313626
21154,568,14000.14,ZCTA5 21154,population,7059,963,1983.3035840770647
21155,578,15340.34,ZCTA5 21155,population,3063,660,5008.272935031016
21156,40,1304.9999999999998,ZCTA5 21156,population,362,247,3604.9723756906074
21157,8691,202460.4400000002,ZCTA5 21157,population,39816,1944,5084.901547116742
21158,4343,99560.21000000004,ZCTA5 21158,population,23011,1135,4326.635522141586
21160,285,5854.12,ZCTA5 21160,population,2716,756,2155.419734904271
21161,1036,26816.29999999997,ZCTA5 21161,population,5625,877,4767.342222222217
21162,705,11934.46,ZCTA5 21162,population,4322,618,2761.3280888477557
21163,4816,171400.08000000005,ZCTA5 21163,population,7222,767,23733.049016892834
21164,1,100,NA,NA,NA,NA,NA
21171,8,80,NA,NA,NA,NA,NA
21173,1,1000,NA,NA,NA,NA,NA
21174,33,228,NA,NA,NA,NA,NA
21176,2,55,NA,NA,NA,NA,NA
21200,22,110,NA,NA,NA,NA,NA
21201,6643,366729.6200000009,ZCTA5 21201,population,18305,1566,20034.396066648507
21202,6148,382084.8500000009,ZCTA5 21202,population,20115,1216,18995.021128511104
21203,167,7428.41,NA,NA,NA,NA,NA
21204,12273,511605.4999999996,ZCTA5 21204,population,20188,1071,25342.059639389718
21205,1021,23248.110000000015,ZCTA5 21205,population,14684,1763,1583.2273222555173
21206,6518,111044.22,ZCTA5 21206,population,51020,2346,2176.484123872991
21207,13152,198563.10000000015,ZCTA5 21207,population,51765,2665,3835.856273543903
21208,21511,700900.8699999987,ZCTA5 21208,population,37319,1885,18781.341139901895
21209,26774,644100.539999995,ZCTA5 21209,population,29960,2204,21498.68291054723
21210,25454,1443604.7700000436,ZCTA5 21210,population,15005,893,96208.2485838083
21211,13357,433904.2699999998,ZCTA5 21211,population,15935,805,27229.637276435504
21212,25556,1146181.100000002,ZCTA5 21212,population,33861,1974,33849.59392811795
21213,3715,75637.8300000001,ZCTA5 21213,population,28862,1842,2620.6718176148606
21214,7525,156481.40000000066,ZCTA5 21214,population,21510,1718,7274.821013482132
21215,10084,148706.3900000006,ZCTA5 21215,population,53674,2752,2770.547937548917
21216,3837,59446.779999999984,ZCTA5 21216,population,28385,2344,2094.3026246256823
21217,6787,338081.31999999844,ZCTA5 21217,population,31634,1810,10687.276980464008
21218,31378,1018091.8099999998,ZCTA5 21218,population,46548,1868,21871.870112571967
21219,1232,28739.510000000017,ZCTA5 21219,population,9605,1032,2992.1405517959415
21220,3341,75693.55000000031,ZCTA5 21220,population,42652,2196,1774.6776235581053
21221,3250,65432.59999999995,ZCTA5 21221,population,43822,2188,1493.144995664277
21222,3776,62814.88999999995,ZCTA5 21222,population,60013,2825,1046.6880509222992
21223,1598,27742.830000000005,ZCTA5 21223,population,20728,1461,1338.4229062138172
21224,12042,379731.1799999997,ZCTA5 21224,population,44915,2124,8454.440164755644
21225,2446,27074.09999999997,ZCTA5 21225,population,34872,1646,776.3850653819675
21226,636,12090.19,ZCTA5 21226,population,5902,1298,2048.4903422568623
21227,4190,96694.33000000005,ZCTA5 21227,population,35052,1827,2758.596656396213
21228,26381,597323.7399999986,ZCTA5 21228,population,50268,2299,11882.783082676824
21229,8355,157636.48000000007,ZCTA5 21229,population,44332,2465,3555.8170170531457
21230,13266,623503.7299999964,ZCTA5 21230,population,32883,1938,18961.27877626726
21231,7981,281612.8999999996,ZCTA5 21231,population,14780,1104,19053.646820027036
21232,12,414.4,NA,NA,NA,NA,NA
21233,28,238,ZCTA5 21233,population,0,13,Inf
21234,12937,250143.7600000003,ZCTA5 21234,population,66095,2210,3784.6094258264666
21235,13,268,NA,NA,NA,NA,NA
21236,5621,122992.59000000026,ZCTA5 21236,population,38632,2124,3183.6971940360386
21237,3793,79481.20000000007,ZCTA5 21237,population,30983,1755,2565.3164638672843
21238,13,734,NA,NA,NA,NA,NA
21239,11716,161538.66000000044,ZCTA5 21239,population,28417,2114,5684.578245416492
21240,14,522,ZCTA5 21240,population,0,13,Inf
21241,1,25,NA,NA,NA,NA,NA
21243,10,168,NA,NA,NA,NA,NA
21244,9590,141657.7900000002,ZCTA5 21244,population,39501,2300,3586.182375129749
21245,19,176,NA,NA,NA,NA,NA
21246,26,1031,NA,NA,NA,NA,NA
21249,3,22,NA,NA,NA,NA,NA
21250,5,206,ZCTA5 21250,population,2959,570,69.61811422777966
21251,9,134,ZCTA5 21251,population,319,106,420.0626959247649
21252,9,120,ZCTA5 21252,population,4456,247,26.929982046678635
21253,1,100,NA,NA,NA,NA,NA
21255,1,5,NA,NA,NA,NA,NA
21257,55,1454.5,NA,NA,NA,NA,NA
21261,12,135,NA,NA,NA,NA,NA
21262,2,45,NA,NA,NA,NA,NA
21265,3,1000,NA,NA,NA,NA,NA
21271,2,12,NA,NA,NA,NA,NA
21275,1,100,NA,NA,NA,NA,NA
21281,1,10,NA,NA,NA,NA,NA
21282,274,5933.99,NA,NA,NA,NA,NA
21284,171,3867.14,NA,NA,NA,NA,NA
21285,3,650,ZCTA5 21285,population,10,19,65000
21286,12808,415242.91999999946,ZCTA5 21286,population,21142,1217,19640.66408097623
21287,33,1663,ZCTA5 21287,population,0,13,Inf
21288,1,25,NA,NA,NA,NA,NA
2129,2,12,NA,NA,NA,NA,NA
21291,3,300,NA,NA,NA,NA,NA
21294,2,100,NA,NA,NA,NA,NA
21296,15,335.5,NA,NA,NA,NA,NA
21297,8,122,NA,NA,NA,NA,NA
21298,1,100,NA,NA,NA,NA,NA
21299,2,105,NA,NA,NA,NA,NA
2130,4,163.31,NA,NA,NA,NA,NA
21301,12,230,NA,NA,NA,NA,NA
21302,15,525,NA,NA,NA,NA,NA
21303,10,464.66,NA,NA,NA,NA,NA
21304,97,1173.9400000000005,NA,NA,NA,NA,NA
21305,1,100,NA,NA,NA,NA,NA
21306,9,73,NA,NA,NA,NA,NA
21307,7,55,NA,NA,NA,NA,NA
21308,5,103,NA,NA,NA,NA,NA
21309,3,70,NA,NA,NA,NA,NA
21310,7,120.62,NA,NA,NA,NA,NA
21311,2,34.17,NA,NA,NA,NA,NA
21312,3,210,NA,NA,NA,NA,NA
21315,5,57,NA,NA,NA,NA,NA
21316,3,125,NA,NA,NA,NA,NA
21317,3,33,NA,NA,NA,NA,NA
21318,81,2430.24,NA,NA,NA,NA,NA
21320,9,728.15,NA,NA,NA,NA,NA
21323,2,14.38,NA,NA,NA,NA,NA
21328,20,300,NA,NA,NA,NA,NA
21330,1,50,NA,NA,NA,NA,NA
21331,2,80,NA,NA,NA,NA,NA
21332,2,29,NA,NA,NA,NA,NA
21334,13,63,NA,NA,NA,NA,NA
21336,4,140,NA,NA,NA,NA,NA
2134,1,100,NA,NA,NA,NA,NA
21344,2,25,NA,NA,NA,NA,NA
21346,2,29,NA,NA,NA,NA,NA
21386,3,170,NA,NA,NA,NA,NA
21401,36733,1649639.400000007,ZCTA5 21401,population,40442,1625,40790.25270758139
21402,172,9181.1,ZCTA5 21402,population,2727,511,3366.740007334067
21403,25115,1333098.2500000054,ZCTA5 21403,population,32207,1921,41391.568603098865
21404,217,8654.399999999998,NA,NA,NA,NA,NA
21405,1726,51961.95999999998,ZCTA5 21405,population,383,140,135670.91383812003
21406,5,850,NA,NA,NA,NA,NA
21407,1,1010,NA,NA,NA,NA,NA
21408,135,263,NA,NA,NA,NA,NA
21409,11407,445531.4299999982,ZCTA5 21409,population,20619,1066,21607.80978708949
21410,2,100,NA,NA,NA,NA,NA
21412,6,91.07,NA,NA,NA,NA,NA
21428,21,210,NA,NA,NA,NA,NA
21430,1,40,NA,NA,NA,NA,NA
21442,1,150,NA,NA,NA,NA,NA
21491,22,660,NA,NA,NA,NA,NA
21493,6,133,NA,NA,NA,NA,NA
21498,3,130,NA,NA,NA,NA,NA
21501,45,625,NA,NA,NA,NA,NA
21502,7293,116830.50000000042,ZCTA5 21502,population,41291,828,2829.442251338074
21503,18,648.06,NA,NA,NA,NA,NA
21504,2,50,NA,NA,NA,NA,NA
21509,17,970,NA,NA,NA,NA,NA
2152,1,25,NA,NA,NA,NA,NA
21520,197,8828.130000000001,ZCTA5 21520,population,2056,423,4293.837548638133
21521,53,890.1600000000001,ZCTA5 21521,population,1426,291,624.2356241234222
21523,6,46,ZCTA5 21523,population,133,77,345.8646616541353
21524,5,7,ZCTA5 21524,population,740,229,9.45945945945946
21529,33,886,ZCTA5 21529,population,575,181,1540.8695652173915
21530,475,11216.91,ZCTA5 21530,population,1783,406,6291.0319685922595
21531,191,4804.52,ZCTA5 21531,population,2014,321,2385.5610724925523
21532,1754,43536.08000000003,ZCTA5 21532,population,13229,662,3290.9577443495373
21533,3,55.239999999999995,NA,NA,NA,NA,NA
21536,466,10208.63,ZCTA5 21536,population,3945,388,2587.738910012674
21538,17,85,ZCTA5 21538,population,571,175,148.86164623467602
21539,28,785.4200000000001,ZCTA5 21539,population,2095,289,374.9021479713604
21540,1,56.18,ZCTA5 21540,population,94,65,597.6595744680851
21541,381,19362.08,ZCTA5 21541,population,1682,303,11511.343638525565
21545,55,972.24,ZCTA5 21545,population,1693,259,574.2705256940343
21550,1946,54859.00000000003,ZCTA5 21550,population,13640,705,4021.920821114372
21555,229,5493.5,ZCTA5 21555,population,1515,317,3626.072607260726
21557,71,1640.1999999999998,ZCTA5 21557,population,1782,483,920.4264870931537
21560,8,127.17,ZCTA5 21560,population,0,13,Inf
21561,752,17515.689999999995,ZCTA5 21561,population,2517,391,6958.955105284066
21562,202,2810.76,ZCTA5 21562,population,3248,573,865.381773399015
21565,2,8,NA,NA,NA,NA,NA
21574,3,110,NA,NA,NA,NA,NA
21591,1,1,NA,NA,NA,NA,NA
21592,5,63,NA,NA,NA,NA,NA
21601,15791,628699.1599999968,ZCTA5 21601,population,23589,768,26652.217559031615
21602,26,529,NA,NA,NA,NA,NA
21604,1,25,NA,NA,NA,NA,NA
21607,2,350,ZCTA5 21607,population,522,231,670.4980842911878
21610,279,3615.8,ZCTA5 21610,population,363,94,9960.881542699726
21612,232,8710.380000000001,ZCTA5 21612,population,557,279,15638.025134649912
21613,3942,120616.02999999994,ZCTA5 21613,population,17945,506,6721.42825299526
21614,1,17,NA,NA,NA,NA,NA
21615,2,12,NA,NA,NA,NA,NA
21617,3054,57825.34999999997,ZCTA5 21617,population,10401,813,5559.595231227764
21618,2,30,NA,NA,NA,NA,NA
21619,3573,96216.21999999994,ZCTA5 21619,population,5776,636,16657.932825484753
21620,7513,422426.1699999993,ZCTA5 21620,population,13636,712,30978.745233206166
21622,17,546.72,ZCTA5 21622,population,348,105,1571.0344827586207
21623,282,7916.639999999999,ZCTA5 21623,population,2187,350,3619.8628257887517
21624,164,8929.2,ZCTA5 21624,population,201,123,44423.880597014926
21625,258,8292.2,ZCTA5 21625,population,2329,368,3560.4121940747104
21627,4,28,ZCTA5 21627,population,27,27,1037.037037037037
21628,119,2211.88,ZCTA5 21628,population,360,183,6144.111111111111
21629,1206,24259.210000000006,ZCTA5 21629,population,9988,505,2428.8356027232685
21631,94,3551.46,ZCTA5 21631,population,2787,465,1274.2949407965555
21632,758,8827.550000000001,ZCTA5 21632,population,6504,482,1357.24938499385
21635,611,12718.539999999995,ZCTA5 21635,population,1836,373,6927.309368191719
21636,58,1112,ZCTA5 21636,population,824,272,1349.5145631067962
21638,1114,33617.01,ZCTA5 21638,population,5064,606,6638.4300947867305
21639,559,10110.96,ZCTA5 21639,population,4734,588,2135.8174904942966
21640,141,3286.5,ZCTA5 21640,population,1374,338,2391.9213973799124
21641,17,197,ZCTA5 21641,population,149,58,1322.1476510067114
21643,740,13598.149999999998,ZCTA5 21643,population,5021,515,2708.2553276239787
21645,196,5711.840000000006,ZCTA5 21645,population,1231,367,4640.000000000005
21647,635,15435.859999999995,ZCTA5 21647,population,450,187,34301.911111111105
21648,4,240,ZCTA5 21648,population,181,89,1325.9668508287293
21649,100,2484.55,ZCTA5 21649,population,2205,525,1126.780045351474
21650,222,8666,ZCTA5 21650,population,308,172,28136.363636363636
21651,297,5999.56,ZCTA5 21651,population,2346,447,2557.3572037510658
21652,249,5809.5,ZCTA5 21652,population,143,85,40625.87412587413
21653,75,1085,ZCTA5 21653,population,105,64,10333.333333333334
21654,6312,175200.69,ZCTA5 21654,population,1260,263,139048.1666666667
21655,427,15772.760000000002,ZCTA5 21655,population,4753,454,3318.485167262782
21657,61,2836.7200000000003,ZCTA5 21657,population,1437,388,1974.0570633263746
21658,916,52629.99000000004,ZCTA5 21658,population,3883,420,13553.950553695608
21659,1,10,ZCTA5 21659,population,1225,346,8.16326530612245
21660,722,14024.06,ZCTA5 21660,population,4100,346,3420.5024390243902
21661,1339,25956.929999999997,ZCTA5 21661,population,2571,314,10096.044340723452
21662,821,71666.80999999998,ZCTA5 21662,population,657,188,109081.902587519
21663,3198,165478.48000000045,ZCTA5 21663,population,3646,492,45386.30828305004
21664,37,803,ZCTA5 21664,population,642,229,1250.778816199377
21665,141,8093.42,ZCTA5 21665,population,164,86,49350.12195121952
21666,3570,104492.80000000018,ZCTA5 21666,population,14193,955,7362.277178891016
21667,445,7539.389999999999,ZCTA5 21667,population,218,97,34584.35779816514
21668,148,2688.7899999999995,ZCTA5 21668,population,1842,339,1459.7122692725295
21669,146,4473.520000000004,ZCTA5 21669,population,186,64,24051.182795698947
21670,15,29,NA,NA,NA,NA,NA
21671,397,13720.66,ZCTA5 21671,population,805,219,17044.298136645964
21672,6,92,ZCTA5 21672,population,113,86,814.1592920353983
21673,437,18756.35,ZCTA5 21673,population,2793,352,6715.48514142499
21676,78,9237.36,ZCTA5 21676,population,333,181,27739.819819819822
21677,28,1214,ZCTA5 21677,population,598,195,2030.1003344481608
21678,1059,22807.97999999999,ZCTA5 21678,population,1685,317,13535.893175074178
21679,213,5971.209999999999,ZCTA5 21679,population,255,124,23416.509803921563
21691,1,100,NA,NA,NA,NA,NA
21701,24907,631639.1800000038,ZCTA5 21701,population,40787,1700,15486.286807070974
21702,17174,430403.05999999936,ZCTA5 21702,population,46596,1984,9236.91003519614
21703,8726,203219.95000000024,ZCTA5 21703,population,39606,1671,5131.039488966325
21704,5672,213888.01000000007,ZCTA5 21704,population,18473,1181,11578.4122773778
21705,449,9141.1,ZCTA5 21705,population,5,8,1828220
21706,1,10,NA,NA,NA,NA,NA
21710,1509,45716.58000000003,ZCTA5 21710,population,4988,719,9165.31275060145
21711,30,741,ZCTA5 21711,population,864,249,857.6388888888888
21713,1829,40567.68999999998,ZCTA5 21713,population,9999,740,4057.1747174717448
21714,426,15300.23,ZCTA5 21714,population,272,174,56250.845588235294
21715,93,4130,ZCTA5 21715,population,12,22,344166.6666666667
21716,2201,47591.569999999985,ZCTA5 21716,population,6630,344,7178.215686274507
21717,97,3016.26,ZCTA5 21717,population,209,158,14431.866028708137
21718,165,4618.8,ZCTA5 21718,population,143,42,32299.3006993007
21719,115,1636.0099999999998,ZCTA5 21719,population,1145,252,1428.829694323144
21720,48,1214,NA,NA,NA,NA,NA
21721,4,63,NA,NA,NA,NA,NA
21722,248,4822.030000000004,ZCTA5 21722,population,6709,1209,718.7404978387248
21723,214,7010.54,ZCTA5 21723,population,689,207,10174.949201741654
21727,606,16539.529999999995,ZCTA5 21727,population,6588,422,2510.554037644201
21728,5,89,NA,NA,NA,NA,NA
21730,4,300,NA,NA,NA,NA,NA
21733,95,2380.62,ZCTA5 21733,population,1202,437,1980.549084858569
21734,137,2700,ZCTA5 21734,population,861,226,3135.8885017421603
21737,1141,42184.98,ZCTA5 21737,population,2406,638,17533.241895261846
21738,2133,91235.83999999994,ZCTA5 21738,population,3786,551,24098.214474379274
21740,9084,156266.82999999897,ZCTA5 21740,population,62760,1925,2489.9112492032978
21741,26,1301,NA,NA,NA,NA,NA
21742,9377,180980.25000000055,ZCTA5 21742,population,34549,1599,5238.364352079671
21743,19,188.43,NA,NA,NA,NA,NA
21748,3,112,NA,NA,NA,NA,NA
21749,2,303,NA,NA,NA,NA,NA
21750,1588,25647.73999999999,ZCTA5 21750,population,3613,508,7098.737890949347
21752,4,40,NA,NA,NA,NA,NA
21753,9,294,NA,NA,NA,NA,NA
21754,3459,99558.51999999968,ZCTA5 21754,population,7260,804,13713.294765840177
21755,2271,65008.77999999997,ZCTA5 21755,population,5706,642,11393.056431826142
21756,706,23079.649999999976,ZCTA5 21756,population,3303,567,6987.481077808046
21757,121,3157.34,ZCTA5 21757,population,2722,484,1159.933872152829
21758,1923,35589.54000000006,ZCTA5 21758,population,4610,740,7720.073752711509
21759,2,67,NA,NA,NA,NA,NA
21762,127,4213.839999999999,ZCTA5 21762,population,176,184,23942.272727272724
21764,1,25,NA,NA,NA,NA,NA
21765,225,2593.999999999999,NA,NA,NA,NA,NA
21766,28,1177.77,ZCTA5 21766,population,544,177,2165.018382352941
21767,79,3614.53,ZCTA5 21767,population,873,322,4140.355097365406
21768,4,125,NA,NA,NA,NA,NA
21769,3776,108657.45999999992,ZCTA5 21769,population,12562,852,8649.694316191682
21770,1985,51007.11,ZCTA5 21770,population,7786,1211,6551.131518109427
21771,8933,209328.0900000004,ZCTA5 21771,population,31653,2013,6613.2148611506145
21772,26,183,NA,NA,NA,NA,NA
21773,1692,26795.68000000001,ZCTA5 21773,population,5553,623,4825.442103367551
21774,5176,144050.66000000012,ZCTA5 21774,population,15096,1015,9542.306571277168
21775,20,1112,NA,NA,NA,NA,NA
21776,1182,21786.81,ZCTA5 21776,population,6434,715,3386.1998756605535
21777,720,13418.1,ZCTA5 21777,population,2360,443,5685.635593220339
